Album;Rok;Médium;Číslo;Název skladby;Autor hudby;Autor textu;Vydavatelství;Poznámka
Greenhorns;1971;MC;1;Blues folsomské věznice;Johnny Cash;Jan Vyčítal;Panton;text: Vyčítal (credits z LP)
Greenhorns;1971;MC;2;Žádnej vlak;J. Russell;Mirek Hoffmann;Panton;(credits z LP)
Greenhorns;1971;MC;3;Co se bude dít;Bob Dylan;Mirek Hoffmann;Panton;(credits z LP)
Greenhorns;1971;MC;4;Kamarád;americká lidová;Marko Čermák;Panton;(credits z LP)
Greenhorns;1971;MC;5;Šest bílých koní;Tommy Cash;Jan Vyčítal;Panton;text: Vyčítal (credits z LP)
Greenhorns;1971;MC;6;Oranžový expres;E. T. Rouse;Jan Vyčítal;Panton;text: Vyčítal (credits z LP)
Greenhorns;1971;MC;7;Blízko Little Big Hornu;L. Payne;Jan Vyčítal;Panton;text: Vyčítal (credits z LP)
Greenhorns;1971;MC;8;Když nás táta hrál;Johnny Cash;Jan Vyčítal;Panton;text: Vyčítal (credits z LP)
Greenhorns;1971;MC;9;Žlutá kytka;G. Jones, B. Edwards;Mirek Hoffmann;Panton;(credits z LP)
Greenhorns;1971;MC;10;Poslední den;Hank Williams;Mirek Hoffmann;Panton;(credits z LP)
Greenhorns;1971;MC;11;Žloutnou už trávy;;;Panton;CHYBÍ OBAL - autoři nezjištěni
Greenhorns;1971;MC;12;Zátoka;;;Panton;CHYBÍ OBAL - autoři nezjištěni
Greenhorns;1971;MC;13;Svatební zvony;;;Panton;CHYBÍ OBAL - autoři nezjištěni
Greenhorns;1971;MC;14;Odjíždím v dál;;;Panton;CHYBÍ OBAL - autoři nezjištěni
Greenhorns;1971;MC;15;Kočárem mám je vagon uhlí;;;Panton;CHYBÍ OBAL - autoři nezjištěni
Greenhorns;1971;MC;16;Já v poslední době;americká lidová;Jan Vyčítal;Panton;text: Vyčítal (credits z LP)
Greenhorns;1971;MC;17;Waterloo;;;Panton;CHYBÍ OBAL - autoři nezjištěni
Greenhorns;1971;MC;18;Já tohle chci ti říct;;;Panton;CHYBÍ OBAL - autoři nezjištěni
Greenhorns;1971;MC;19;Poslední hrana;;;Panton;CHYBÍ OBAL - autoři nezjištěni
Greenhorns;1971;MC;20;Lodní zvon zvoní;Hank Williams;Jan Vyčítal;Panton;text: Vyčítal (credits z LP)
Zelenáči-Scarabeus-Mustangové;1973;MC;1;Na sluneční straně hor;traditional;M. Čermák;Panton;Stopa 1 - Zelenáči
Zelenáči-Scarabeus-Mustangové;1973;MC;2;Hardy;traditional;M. Čermák;Panton;Stopa 1 - Zelenáči
Zelenáči-Scarabeus-Mustangové;1973;MC;3;Rovnou, tady rovnou;T. Wilburn;J. Vyčítal;Panton;text: Vyčítal, Stopa 1 - Zelenáči
Zelenáči-Scarabeus-Mustangové;1973;MC;4;Proklatej vůz;traditional;M. Hoffmann;Panton;Stopa 1 - Zelenáči
Zelenáči-Scarabeus-Mustangové;1973;MC;5;Bílej sníh;M. Phillips;M. Hoffmann;Panton;Stopa 1 - Zelenáči
Zelenáči-Scarabeus-Mustangové;1973;MC;6;Na Vánoce ráno;traditional;J. Vyčítal;Panton;text: Vyčítal, Stopa 1 - Zelenáči
Zelenáči-Scarabeus-Mustangové;1973;MC;7;Vlak v 0,5;T. J. Arnall;J. Vyčítal;Panton;text: Vyčítal, Stopa 1 - Zelenáči
Zelenáči-Scarabeus-Mustangové;1973;MC;8;Nečekej už dál;G. Lightfoot;J. Vyčítal;Panton;text: Vyčítal, Stopa 1 - Zelenáči
Zelenáči-Scarabeus-Mustangové;1973;MC;9;Sněžnej muž;R. Jones;J. Vyčítal;Panton;text: Vyčítal, Stopa 1 - Zelenáči
Zelenáči-Scarabeus-Mustangové;1973;MC;10;Za chvíli už budu v dáli;C. Perkins;J. Vyčítal;Panton;text: Vyčítal, Stopa 1 - Zelenáči
Zelenáči-Scarabeus-Mustangové;1973;MC;11;Vlak půlnoční;H. Williams;J. Vyčítal;Panton;text: Vyčítal, Stopa 1 - Zelenáči
Zelenáči-Scarabeus-Mustangové;1973;MC;12;Malá Loo;H. Williams;J. Velimský;Panton;Stopa 2 - Scarabeus
Zelenáči-Scarabeus-Mustangové;1973;MC;13;Návrat;traditional;M. Navara;Panton;Stopa 2 - Scarabeus
Zelenáči-Scarabeus-Mustangové;1973;MC;14;Tam u nás doma;traditional;J. Velimský;Panton;Stopa 2 - Scarabeus
Zelenáči-Scarabeus-Mustangové;1973;MC;15;Zlato severu;traditional;M. Navara;Panton;Stopa 2 - Scarabeus
Zelenáči-Scarabeus-Mustangové;1973;MC;16;Nekonečno;traditional;M. Navara;Panton;Stopa 2 - Scarabeus
